tmdbId,title,director,releaseYear,language,posterPath
345,Eyes Wide Shut,Stanley Kubrick,1999,en,/jVytMY7bVeYqFBp0SpKRoIKXa7W.jpg
592,The Conversation,Francis Ford Coppola,1974,en,/dHqVBwcv1SGymOpUueRoKzcmdes.jpg
599,Sunset Boulevard,Billy Wilder,1950,en,/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg
638,Lost Highway,David Lynch,1997,en,/5POhfNeFPIi4VUNwCTaK85sh98r.jpg
778,Monsieur Hulot's Holiday,Jacques Tati,1953,fr,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg
992,Sherlock Jr.,Buster Keaton,1924,en,/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
5961,Fanny and Alexander,Ingmar Bergman,1982,sv,/mNlZjk8RYA93AdCGZ32D2SErNYb.jpg
6114,Bram Stoker's Dracula,Francis Ford Coppola,1992,en,/scFDS0U5uYAjcVTyjNc7GmcZw1q.jpg
10319,Woyzeck,Werner Herzog,1979,de,/8O2PuxOdBVJSeU6kjP7ukZgA26n.jpg
12761,Autumn Sonata,Ingmar Bergman,1978,sv,/6beNbtCXv3GkzHkxkGYf38ib7v8.jpg
19542,The Red Shoes,"Michael Powell,Emeric Pressburger",1948,en,/tRpm0MNYoMOgyumL9ePI3wB2P9V.jpg
30017,Close-Up,Abbas Kiarostami,1990,fa,/m9HG2N9ZKCmNN9qOHJTNyy18wn3.jpg
31522,A Woman Is a Woman,Jean-Luc Godard,1961,fr,/zSLxen15vPByfGh26CIPtc5W0Iy.jpg
36877,The Blood of a Poet,Jean Cocteau,1932,fr,/bvejsaSiXMMZPnVUK2pz1gaNBqI.jpg
37719,A Night at the Opera,Sam Wood,1935,en,/dzqBOSsUvZfoPU65fofXHJfOyhK.jpg
40427,Crimson Gold,Jafar Panahi,2003,fa,/vaD2OuSqFD0XjXX8JDFJD8lxnV4.jpg
40882,The Mirror,Jafar Panahi,1997,fa,/nlfYtvq1cwChOHMMGE7oFTl5sK0.jpg
45555,God's Angry Man,Werner Herzog,1983,de,/9sfJnGPU4kcxZ21EGFJIZU1WpL7.jpg
46326,Port of Shadows,Marcel Carné,1938,fr,/3uZ2lPb0y3A7nblOdZfmnjvn7fD.jpg
48035,Ordet,Carl Theodor Dreyer,1955,da,/e3oh96Zrqdaku8DoD10pXZHLZoU.jpg
48369,Hôtel du Nord,Marcel Carné,1938,fr,/bCEHkWyfrcrjFFmcM6FKskVT6US.jpg
49956,The Long Day Closes,Terence Davies,1992,en,/4cbgr67H4qV2RHqeFqlf4hMIl1Y.jpg
50785,Le Petit Soldat,Jean-Luc Godard,1963,fr,/oplp1fFr1IvopXk0qk7zmxW0FAh.jpg
51311,Wheel of Time,Werner Herzog,2003,de,/d26W3zIQXucyHU6s98DVyOVlqV1.jpg
53200,Lessons of Darkness,Werner Herzog,1992,de,/rSQaIbOQj6SUSOxr3BEiAmCoj1P.jpg
54464,Fiancés on the Bridge,Agnès Varda,1962,fr,/hxz3xHtDoV5K4UJA5x8HNnSTtN0.jpg
83761,"Life, and Nothing More…",Abbas Kiarostami,1992,fa,/100CuZjqxtcbDvZ5qPsoi1VEU5n.jpg
264290,"You've Got Beautiful Stairs, You Know...",Agnès Varda,1986,fr,/yPPAwE48fgNJuepTi8EJlMiO6Yz.jpg
287877,"First Case, Second Case",Abbas Kiarostami,1979,fa,/z1HQ7gNd8SsNvOxPelSM7XoTztG.jpg
338497,Onan,Takahiko Iimura,1963,ja,/9Az643WPyisizMxek2hqFxAoc65.jpg
383575,Misconception,Marjorie Keller,1977,en,/nkWZvvHHNGnxbNH6R4pnwvjAJTH.jpg
425445,Other Reckless Things,Janis Crystal Lipzin,1984,en,
517731,3 Faces,Jafar Panahi,2018,fa,/clpmeXLRg65zGGP1zoyYOLIakQG.jpg
639988,No Other Choice,Park Chan-wook,2025,ko,/vc2S0dvgpsM0XfSiXZDMVkRCSSU.jpg
928713,The Novelist's Film,Hong Sang-soo,2022,ko,/5o4LNNBvc0kquSMaahjT2RTGFBR.jpg
973337,Pier Paolo Pasolini - Agnès Varda - New York - 1967,Agnès Varda,2022,fr,/g29AMLcOXlS5vDe47liVWupHf6v.jpg
1220564,The Secret Agent,Kleber Mendonça Filho,2025,pt,/cjHczbkm4j9Dccgf2RzyjZh8kYT.jpg
